TMP,AGE,CLO,MET,RH,AV,BMI,OTMP,SEX,TS
25.8,25,0.64,1.1,52.8,0.07,21.484375,18.5,Female,1
36.1,65,0.55,1.4,47.9,0.34,22.0721003,30.9,Male,3
34.3,55,0.49,1.4,49.4,0.65,22.77897657,38.1,Male,2
21.1,35,0.84,1.3,78.9,0.01,21.00409544,18.5,Male,-0.5
23.1,25,0.7,1.2,54.6,0.17,24.20688414,29.5,Male,-1
25.4,25,0.58,1.6,62.4,0.11,24.16326531,38.1,Male,2
29.2,55,1.05,1.4,80.7,0.28,24.97227217,29.5,Female,-0.5
26.3,35,0.7,1.4,56.7,0.35,22.77897657,30.8,Male,0
25.8,25,0.7,1.5,68.6,0.21,26.8744961,38.1,Male,-1
24.2,25,0.6,1.3,54.5,0.04,20.15621063,30.9,Female,0
24.9,35,1.16,1.2,31.2,0.07,24.20688414,21.3,Male,0
29.4,45,0.43,1.1,36.2,0.17,25.23906123,29.5,Male,0
25.2,25,1.66,1.3,43.6,0.04,28.40550436,15.5,Male,0
19.1,55,1.93,1.4,25.5,0.01,22.78410353,8.5,Male,0
28.2,35,0.57,1.1,44.9,0.12,22.1718317,29.9,Female,1
22.3,35,1.29,1.7,46.1,0.02,23.14010515,15.5,Male,0
27.2,25,0.71,1.1,70.5,0.66,23.4375,30.8,Female,0
27.3,35,0.86,1.1,47.3,0.12,21.15190681,21.3,Male,0
19.8,55,1.89,1.6,56.6,0.02,31.0150703,15.5,Male,0
24.2,25,0.64,1.3,49.2,0.09,21.15190681,21.3,Male,0
17.4,25,1.79,1.3,53.7,0.09,21.09726442,15.5,Female,-1
34.9,25,0.52,1.1,47.8,0.51,19.48696145,38.1,Male,3
25.3,25,0.78,1.1,63.1,0.05,33.34165485,30.8,Male,0
21,55,1.02,1.1,79.2,0.01,18.98644161,18.5,Male,0
25.6,55,0.64,1.1,69.8,0.58,26.88780888,30.8,Male,0
27,55,0.99,1.1,46.8,0.11,23.72453724,21.3,Male,0
27.8,25,0.7,1.1,60.5,0.21,24.09297052,30.8,Male,0
28.7,25,0.74,1.1,82.4,1,19.53125,29.5,Male,-1
30.1,55,0.42,1.3,73.8,0.99,30.00748937,30.9,Female,0
21.3,55,0.57,1.1,77.3,0.03,26.20307382,18.5,Female,0
24.4,25,0.44,1.1,47.3,0.04,23.4375,21.3,Female,0
23.1,25,1.09,1.1,45.5,0.03,22.92238771,15.5,Female,0
20.9,55,0.55,1,80.7,0,23.38120433,18.5,Female,0
21.9,25,0.7,1.2,46,0.07,22.4385219,15.5,Male,-2
27.7,45,0.73,1.1,33.1,0.04,31.43061842,18.5,Female,1
20.6,25,1.63,1.1,27.1,0.01,22.92097107,8.5,Male,-1
19.9,35,1.56,1.1,40.8,0.13,24.92011324,8.5,Male,0
25.6,45,0.74,1.3,69,0.22,23.38120433,30.8,Male,0
26.1,25,0.76,1.1,58.5,0.07,25.01352082,30.8,Male,2
25.7,25,0.9,1.1,70.5,0.57,19.75308642,30.8,Female,-1
23.6,25,0.79,1.3,51.3,0.06,23.14010515,30.9,Male,0
23.1,45,0.7,1.1,75.4,0.04,17.99307958,18.5,Male,0
26.4,45,0.78,1.3,39.7,0.02,20.11715561,18.5,Male,0
23.7,25,0.7,1.1,48.5,0.06,26.92622628,30.9,Male,0
25.3,25,0.78,1.4,66.8,1.26,16.74019899,30.8,Male,-1
24.7,35,0.79,1.1,51.9,0.07,27.96185037,30.9,Male,-1
24.1,35,0.66,1.1,52.5,0.06,21.67207566,30.9,Female,0
27.5,45,0.67,1.1,60.8,0.19,26.57148171,30.9,Male,0
25.4,25,1.04,1.1,44,0.09,23.91456998,15.5,Male,0
21.7,55,0.64,1.7,80,0.03,26.6727633,18.5,Male,-1
26.4,55,0.87,1,69.3,0.21,26.47627952,30.8,Female,1
27.5,25,0.57,1.3,59.6,0.28,20.80279105,38.1,Female,0
27.1,55,0.55,1.3,47.3,0.06,24.20811,18.5,Male,1
23.7,35,0.7,1.2,50.7,0.07,27.15816007,30.9,Male,0
25.9,25,0.63,1.1,71.9,0.09,22.41990936,38.1,Male,1
25.3,35,1.34,1.1,38,0.11,22.78410353,15.5,Male,0
24.6,55,0.7,1.3,46.5,0.04,19.22408735,18.5,Male,0
24.7,25,0.46,1.3,45.3,0.25,21.55925618,30.9,Female,0
27.8,25,0.63,1.1,49,0.09,19.52483706,29.9,Male,0
26.6,35,0.52,1.1,47.7,0.05,22.265625,21.3,Female,1
21.8,45,1.63,1.1,25.4,0.03,22.01187834,8.5,Male,0
26.1,25,0.73,1.1,49.5,0.29,22.14290143,29.9,Male,-1
20,35,0.73,1.3,82.7,0.04,27.21730295,18.5,Male,0
25.6,25,0.93,1.3,64.8,0.06,17.09958227,30.9,Female,0
25,35,0.53,1.3,43.6,0.02,25.83972174,21.3,Male,1
24.9,35,0.7,1.5,64.7,0.04,24.6092588,30.8,Male,0
17.6,45,1.68,1.4,39.3,0.03,27.61664234,8.5,Male,-1
27.7,25,0.8,1.1,45.8,0.29,22.57495591,29.9,Male,1
27,45,0.57,1.4,31.5,0.04,29.6875,18.5,Female,1
20.1,55,1.82,1.4,36.9,0.09,17.39799398,8.5,Male,0
29.5,55,0.55,1.4,77,0.31,29.8803726,29.5,Male,-0.5
17.5,25,1.34,1.4,51.3,0.09,23.4375,15.5,Female,-1
24.9,35,0.75,1.1,49.1,0.44,25.80645161,29.5,Male,-1
17.4,55,1.6,1.3,39.9,0.04,26.04738937,8.5,Male,0
25.4,35,0.67,1.9,63.1,0.21,22.85714286,30.8,Male,0
25.4,25,0.6,1.3,49.6,0.14,19.34996221,29.9,Female,0
23.6,35,0.69,1.1,55.6,0.09,24.85497811,29.5,Male,0
22,55,0.64,1.1,80.8,0.18,27.05612294,18.5,Male,0
23.8,35,0.91,1.7,40.4,0.05,20.3125,15.5,Female,0
24,25,0.7,1.1,53.1,0.05,23.75521842,30.9,Male,0
24.9,25,0.57,1.2,73.8,0.02,21.52782083,38.1,Female,-1.5
21.9,55,0.84,1.6,78.3,0.01,18.91162823,18.5,Male,0
17.7,45,1.83,1.2,56,0.04,24.94679546,15.5,Male,0
24.8,25,0.67,1.4,77,0.12,22.72043837,38.1,Female,1
31.1,55,0.42,1.1,71.3,1.03,30.13894917,30.9,Female,0
22.8,45,0.7,1.1,76.6,0.04,20.92524873,18.5,Male,0
25.3,45,1.29,1.6,41.6,0.08,20.15621063,15.5,Female,0
29.4,55,0.71,1.3,76.1,0.31,26.70012133,38.1,Male,1
23.4,25,0.68,1.1,47.7,0.03,29.34268249,30.9,Male,0
24.2,35,0.43,1,42.7,0.13,26.70012133,21.3,Male,-2
24.1,25,0.68,1.1,55,0.15,33.21435214,30.9,Male,0
24.5,55,0.77,1.3,51,0.14,24.6092588,18.5,Male,0
34.5,55,0.52,1.4,47.6,0.44,27.51484793,38.1,Male,3
23.4,35,0.7,1.1,47.1,0.07,30.2601375,30.9,Male,0
24.4,55,1.03,1.1,25.3,0.09,21.24452674,21.3,Male,1
24.8,35,0.74,1.7,45.7,0.1,28.49930378,29.5,Male,0
24.9,45,1.03,1.1,27.3,0.04,22.14290143,21.3,Male,0
24,35,1.18,1.3,42.9,0.06,27.61664234,15.5,Male,-2
22,35,0.49,1.2,84.2,0.03,24.20811,18.5,Male,0
22.7,25,0.74,1.1,48.7,0.08,18.7760119,30.9,Male,0
33.5,55,0.68,1.1,48.4,1.08,27.88171257,30.9,Male,2
24.4,45,0.73,1.1,28.2,0.03,24.20688414,21.3,Male,-1
27.3,55,0.78,1.3,71,0.54,28.36744235,30.8,Female,0
25.2,55,0.62,1.1,35.6,0.01,26.82287414,21.3,Male,-1
29.5,45,0.61,1.1,75.8,0.68,24.21875,29.5,Male,0
30.1,45,0.67,1.1,76.8,0.45,21.40289781,29.5,Male,0
21.1,55,0.64,1.1,81.9,0.07,21.484375,18.5,Male,0
24.5,35,0.94,1.3,53.1,0.03,25.83978251,29.9,Female,-1
22.9,45,0.64,1.1,79.3,0,24.20811,18.5,Male,0
31.9,45,0.53,1.1,68.5,1.21,23.49610677,30.9,Male,0
24,35,0.66,1.1,53.3,0.1,19.921875,30.9,Female,0
29.3,25,0.48,1.3,59.7,0.22,25.833385,30.8,Female,0
25.9,25,0.57,1.1,58.8,0.07,20.96245906,30.8,Female,0
21.6,45,1,1.1,80.8,0.04,24.14058673,18.5,Female,0
34.2,25,0.48,1.1,50.4,0.6,24.03460984,38.1,Female,3
22.5,65,0.67,1.1,78.9,0,24.54171575,18.5,Female,0
25,25,0.72,1.4,67.1,0.13,17.80008088,30.8,Female,-1
24.7,35,0.78,1.2,58.4,0.02,21.484375,18.5,Male,1
21.9,55,0.68,1.6,78.6,0.01,27.34375,18.5,Male,0
23.9,45,0.55,1.7,50,0.01,23.47414599,18.5,Male,0
22.8,25,1.48,1.1,31.2,0.04,23.73440429,8.5,Female,-1
25.1,25,0.64,1.3,64.1,0.35,21.93748875,30.8,Male,0
23.4,25,1.16,1.4,42.9,0.07,24.08063237,15.5,Male,0
29.3,55,0.74,1.2,80.9,0.58,33.82015368,30.9,Male,0
36.2,25,0.4,1.1,43.4,0.66,20.80279105,30.9,Female,2
33.4,45,0.72,1.6,53.6,1.05,24.9898459,29.5,Male,3
27.3,25,0.63,1.1,69.5,0.36,27.34375,30.8,Female,-1
19.3,55,1.72,1.3,25.4,0.01,24.6092588,8.5,Male,0
25.8,45,0.53,1.1,69.2,0.08,25.390625,30.8,Female,0
27.4,25,0.4,1.1,34.8,0.3,23.38120433,30.9,Female,0
24.6,25,0.74,1.3,43.1,0.13,23.71184463,15.5,Male,0
23,25,0.64,1.1,51.1,0.11,26.2345679,30.9,Male,-1
22.9,25,0.59,1.1,27.7,0.03,18.44072597,21.3,Male,-1
21.5,45,0.75,1.3,77.4,0.01,22.50561703,18.5,Female,0
24.4,45,1.06,1.2,43.3,0.06,20.07960128,15.5,Male,1
23.2,35,1.16,1.1,45.5,0.09,27.81557067,15.5,Female,0
16.9,25,1.16,1.7,54.7,0.14,19.11129783,15.5,Male,-1
24.5,35,1.11,1.3,45.6,0.05,25.390625,15.5,Male,0
24.3,25,0.92,1.1,42.4,0.09,22.0721003,15.5,Male,1
29.6,25,0.57,1.2,79.6,0.39,16.0200728,29.5,Female,0
25.5,35,0.58,1.1,53,0.32,28.48012941,29.5,Male,0
29.5,55,0.7,1.1,81,1.28,24.5851167,29.5,Male,0
26.7,35,0.8,1.6,46.2,0.22,21.15190681,29.9,Male,0
22.6,45,0.64,1.1,76.1,0,21.36009706,18.5,Male,0
24.3,35,1.27,1.2,31.3,0.04,23.14010515,21.3,Male,0
25.8,25,0.57,1.2,72.4,0.08,23.84620154,38.1,Female,-1
23.3,25,0.67,1.1,45.2,0.03,24.18745276,15.5,Female,0
26.6,55,0.63,1.4,64.9,0.11,30.04715973,30.8,Female,0
23.3,45,1.08,1.4,24.9,0.17,30.63683773,21.3,Male,-2
23.6,35,0.87,1.3,38.2,0.04,27.34375,21.3,Female,-1
25.6,35,0.92,1.2,42.9,0.12,24.47587266,15.5,Male,0
19,45,1.42,1.1,38.5,0.03,23.49610677,8.5,Male,-1
24.7,25,0.6,1.1,77.8,0.17,21.09726442,38.1,Female,3
23.6,55,0.74,1.1,26.4,0.08,22.0721003,21.3,Male,-1
30.2,25,0.59,1.3,74.2,0.38,26.47627952,29.5,Female,0
18,55,1.14,1,38,0.03,36.28117914,8.5,Male,-1
25.5,55,0.63,1.3,53.1,0.07,24.99370118,18.5,Female,0
24.7,35,0.64,1.7,47.2,0.05,23.4375,30.9,Male,0
30.1,35,0.49,1.2,77.2,0.27,24.99370118,29.5,Male,-1
26.1,45,0.74,1.1,36.9,0.04,19.53125,18.5,Male,0
22.2,45,0.5,1,80.1,0.01,26.5625,18.5,Male,0
17.6,55,1.38,1.1,60,0.05,22.1718317,15.5,Female,-1
20.5,55,1.68,1.3,18.5,0.01,18.7760119,8.5,Male,0
27.9,45,0.78,1.9,65.7,0.28,34.53068024,30.8,Female,0
23.2,25,0.6,1.6,56.2,0.11,21.31254263,30.9,Female,0
27.5,25,0.71,1.1,49.9,0.04,18.81892431,29.9,Female,1
26.6,25,0.7,1.1,60.8,0.2,26.2345679,38.1,Male,1
25.7,25,0.57,1.2,66.1,0.37,26.47627952,30.8,Female,0
36.4,55,0.53,1.5,46.3,0.42,23.47414599,30.9,Male,2
24.6,25,0.56,1.1,41.9,0.1,22.77318641,21.3,Male,0
37,25,0.6,1.1,40.1,0.25,15.93058742,30.9,Female,2
25,55,0.69,1.1,52.3,0.03,23.84620154,18.5,Male,0
16.3,55,1.84,1.2,59,0.02,26.5625,15.5,Male,-1
30.3,45,0.71,1.4,65.7,0.5,25.390625,29.5,Male,-1
29,35,0.66,1.6,42.6,0.11,23.3391584,29.9,Female,-1
22.2,55,0.66,1.3,79,0.02,24.18745276,18.5,Female,0
26.3,25,0.47,1.1,46.8,0.14,23.84620154,21.3,Female,-2
26.6,25,0.68,1.4,67.1,0.44,25.60553633,38.1,Male,0
35.3,55,0.46,1.1,49,1.17,18.98644161,38.1,Male,3
26.5,25,0.85,1.1,54.4,0.01,22.01187834,21.3,Male,0
24.3,35,0.74,1.4,46.5,0.06,24.14058673,30.9,Male,0
26.3,25,0.52,1.3,48.5,0.03,31.68414397,21.3,Male,1
26.6,25,0.71,1.3,63.6,0.07,24.5851167,30.8,Female,0
29.6,45,0.63,1.1,77.1,0.67,27.76709812,38.1,Female,0
26.1,35,0.69,1.6,47.8,0.35,30.00748937,29.9,Male,1
21,25,0.64,1.1,82.5,0.02,17.39799398,18.5,Male,0
25.2,25,0.71,1,45.9,0.05,19.22408735,21.3,Male,0
23.8,25,0.6,1.1,40.2,0.01,20.81165453,15.5,Male,-1
30.1,55,0.49,1.7,74.7,0.33,20.96245906,38.1,Female,1
24.4,25,0.58,1.1,75.4,0.14,31.09789075,38.1,Male,-1
27.3,35,0.69,1.6,48.1,0.16,20.39966341,29.9,Female,1
22.8,45,1.04,1.7,77.1,0,22.1718317,18.5,Male,0
23.2,25,0.74,1.1,44.9,0.19,27.61664234,30.8,Male,-1
21.3,25,1.59,1.4,33.5,0.02,20.64809382,8.5,Male,0
22.3,35,0.77,1.1,25.6,0.02,27.34375,21.3,Male,-0.5
16.3,35,1.56,1.3,24.8,0.05,17.33434114,8.5,Female,-1
33.4,55,0.49,1.1,51,1.02,30.46875,29.5,Male,0
26.4,35,0.66,1.1,49,0.16,23.45041901,29.9,Female,0
24.3,25,0.84,1.6,75.8,0.23,23.07118013,38.1,Male,1
23.8,45,0.55,1.1,33.8,0.04,24.20811,21.3,Male,0
25.9,25,0.59,1.3,58.5,0.73,19.93609059,30.8,Female,1
21.3,35,0.83,1.1,80,0.07,20.56126561,18.5,Male,0
21.7,25,0.6,1.1,81.5,0.02,19.34996221,18.5,Female,0
25.4,25,0.6,1.3,66.2,0.09,17.95081752,30.9,Female,-0.5
26,25,0.58,1.3,63.5,0.37,27.77777778,38.1,Male,1
25.9,25,1.01,1.3,73.1,0.26,21.36558327,30.8,Female,0
18.2,45,1.83,1.3,27.4,0.02,22.78410353,8.5,Male,0
27.2,25,0.59,1.4,56.9,0.42,23.4793369,38.1,Female,2
26.9,25,0.74,1.3,65.3,0.04,21.51385851,38.1,Male,0
30.8,45,0.51,1.1,72.9,0.37,30.46875,30.9,Male,0
24.9,25,0.59,1.5,61,0.11,28.125,29.5,Female,-0.5
25.6,25,0.68,1,63.8,0.64,21.79930796,38.1,Male,0
26.6,55,0.7,1.1,65.9,0.3,23.14010515,30.8,Male,0
24.3,25,1.24,1.1,42.6,0.05,21.79930796,15.5,Male,1
25.9,35,0.38,1.6,70.2,0.32,18.34323195,30.8,Female,1
25.6,25,0.53,1.4,53.9,0.13,23.84620154,29.5,Female,-1.5
24.5,25,0.49,1.1,41.5,0.09,24.16456205,21.3,Male,-1
36,55,0.68,1.7,32,0.17,26.03311608,29.5,Male,3
30.4,55,0.59,1,69.9,0.63,25.54539417,29.5,Male,1
25.7,25,0.59,1.1,68,0.03,18.75,30.8,Female,0
25,25,0.77,1.1,42.5,0.18,17.39799398,18.5,Male,0
26.4,25,0.7,1.4,63.1,0.53,26.57312925,38.1,Male,0
23.6,25,0.82,1.1,47.2,0.06,21.36009706,30.9,Female,-1
24.9,25,0.61,1.8,65.5,0.12,20.71248176,30.8,Female,-1
33.4,45,0.7,1.1,56.1,0.51,27.05612294,29.5,Male,1
26,25,0.57,1.1,49.7,0.15,28.90625,29.9,Female,0
23.6,25,0.97,1,24.5,0.09,22.12257844,21.3,Female,-1.5
36.6,55,0.53,1.1,30.8,0.67,25.79994961,29.5,Male,3
23.3,55,1.16,1.2,30.1,0.02,29.27783633,21.3,Female,-1
20,45,0.85,1.4,32.3,0.1,23.4375,8.5,Female,2
28.6,25,0.65,1.1,60.1,0.12,20.23950076,30.8,Female,0
26.8,45,0.59,1.1,32.6,0.01,24.5851167,18.5,Male,0
25.8,55,0.6,1.4,52.8,0.04,22.42810191,18.5,Male,0
35.6,55,0.7,1,45.4,0.45,25.40923061,29.5,Male,2
21,55,0.88,1.4,82.4,0.03,23.4375,18.5,Male,0
21.6,25,1.22,1.1,46.3,0.09,23.47414599,15.5,Male,-1
20.4,55,1.65,1.4,33.9,0.05,23.046875,8.5,Female,0
24.8,35,0.74,1.1,52.7,0.04,23.47414599,30.9,Male,0
29.5,45,0.57,1.4,76.5,0.39,28.36744235,29.5,Female,0
26.1,55,0.7,1.6,66.5,0.32,24.33227705,30.8,Male,0
24.6,45,0.64,1.1,52.3,0.1,22.69395388,29.9,Male,0
37,45,0.55,1.3,26.9,0.41,27.51484793,29.5,Male,0
24,55,0.58,1.3,36.9,0.09,26.70012133,21.3,Male,0
26.8,25,0.57,1.4,62.5,0.2,23.3391584,30.8,Female,0
35.2,25,0.57,1.1,38.1,0.51,16.67082743,38.1,Female,2
25.2,35,1.04,1.3,44.7,0.1,28.15311753,15.5,Male,1
28.9,55,0.78,1.1,59.5,0.48,21.52782083,30.8,Female,0
27.3,45,0.73,1.1,44.8,0.04,20.50107891,18.5,Male,0
23,45,0.64,1.1,61,0.04,29.54813427,18.5,Male,0
22.5,25,0.74,1.2,48.1,0.06,23.14010515,30.9,Male,-2
16.7,45,1.47,1.2,21.9,0.05,23.4375,8.5,Female,-2
23.7,25,0.7,1.3,55.7,0.11,23.61563786,29.5,Male,-1
25.9,25,0.62,1.9,59.4,0.11,27.68541615,30.8,Male,1
18.6,25,1.69,1.1,49.7,0.05,19.75308642,15.5,Female,-2
34.4,55,0.4,1.1,52.7,1.14,27.98616708,30.9,Female,0
24.5,45,1.15,1.1,43.3,0.06,23.14010515,15.5,Male,0
19.3,45,1.44,1.1,24.6,0.03,30.17573341,8.5,Male,0
25.1,25,1.04,1.1,44.4,0.08,22.4385219,15.5,Male,1
24.3,55,0.68,1.1,43.9,0.03,22.1718317,21.3,Female,-0.5
27.6,25,0.53,1.1,57.4,0.2,18.51392592,38.1,Female,0
25,25,0.68,1.4,64.5,0.1,21.74810584,30.8,Male,-1
25.1,25,0.73,1.9,73.4,0.12,24.18745276,38.1,Female,0.5
16.7,25,1.62,1.1,54.4,0.02,17.95081752,15.5,Female,0
24.7,35,0.55,1.1,42.2,0.02,23.30905307,21.3,Male,-1
23.1,45,0.73,1,70,0.01,24.04086441,18.5,Male,0
25.2,35,0.7,1.1,67.9,0.17,28.61544185,30.8,Male,0
24.2,35,1.28,1.4,42.9,0.05,27.5204632,15.5,Male,1
22.2,35,1.71,1.4,36.5,0.06,20.64809382,8.5,Male,0
24.7,25,0.58,1.3,77.8,0.12,26.70225781,38.1,Female,-1
22.7,55,1.84,1.2,32.1,0.09,23.84620154,8.5,Male,0
26.4,45,0.54,1.1,35,0.02,22.63467632,18.5,Male,0
24,25,0.64,1.1,54.7,0.1,26.48758822,29.5,Male,-1.5
26.4,45,0.84,1.1,40.2,0.06,22.4641571,18.5,Male,1
18.4,45,1.3,1.1,35.9,0.02,24.57993082,8.5,Male,0
24.7,35,0.74,1.2,48.5,0.17,24.94679546,29.5,Male,0
26.3,35,0.59,1.7,58,0.22,20.96245906,30.8,Female,3
26.5,55,0.55,1.2,51.5,0.02,30.47796622,21.3,Male,0
24.2,35,0.7,1.5,54.2,0.06,28.39855185,29.5,Male,0.5
24.3,45,0.86,1.1,29.3,0.11,23.4375,21.3,Male,1
22.2,45,0.97,1.2,78.3,0.02,29.8803726,18.5,Male,0
27.9,25,0.56,1.2,31.5,0.13,19.34996221,18.5,Male,0
20.1,35,1.75,1.6,31.1,0.02,22.1718317,8.5,Female,0
26.6,65,0.58,1.3,66.3,0.17,27.61664234,30.8,Male,0
38.1,45,0.7,1.3,39.1,0.51,24.16456205,30.9,Male,3
25.3,25,0.73,1.4,72.3,0.07,24.20688414,38.1,Female,0
17.5,55,1.3,1.1,59.2,0.07,28.48012941,15.5,Male,-2
22.8,35,0.7,1.1,51.6,0.08,25.833385,18.5,Male,0
21.7,45,0.99,1,79.1,0.02,25.98811809,18.5,Male,0
17,45,1.75,1.5,18.7,0.05,22.01187834,8.5,Male,0
27.6,45,0.52,1.1,69.3,0.44,22.65625,30.8,Male,0
24.4,35,0.74,1.1,51.1,0.02,24.47587266,30.9,Male,0
20.3,35,1.55,1.1,25.2,0.04,23.42980447,8.5,Male,1
25.9,25,0.95,1.3,52.1,0.01,18.61917845,21.3,Male,1
18.1,25,1.24,1.1,18.7,0.01,27.61664234,8.5,Male,0
23.2,25,0.59,1.3,57.3,0.05,20.3125,30.9,Female,0
24.3,55,0.53,1.1,29.8,0.23,22.69395388,21.3,Male,0
27.8,25,0.77,1.1,45.8,0.41,24.91687454,29.9,Male,0
26.6,25,0.63,1.1,62.9,0.68,20.80279105,38.1,Female,0
26,25,0.57,1.4,60.2,0.24,22.97808012,30.9,Female,0
23.8,25,0.96,1.4,51.4,0.06,22.41990936,21.3,Male,1
30.1,35,0.49,1.1,72,0.48,25.71166208,29.5,Male,2
24.7,25,0.58,1.1,64.3,0.58,29.34268249,38.1,Male,0
27.5,25,0.88,1.1,43.5,0.01,28.3070584,29.9,Male,1
25.2,25,0.75,1.1,49.4,0.19,21.36009706,29.9,Male,-1
25.4,35,0.74,1.1,46.6,0.03,25.70816273,29.5,Male,0
28.6,55,0.46,1.3,60.5,0.26,26.70012133,30.8,Male,-1
22.9,25,0.59,1.4,44.8,0.14,25.83978251,30.8,Female,-1
25.9,45,0.7,1,55,0.21,24.16456205,29.5,Male,-0.5
36.9,45,0.7,1.6,30.2,0.44,23.13472895,29.5,Male,1
23.8,25,0.74,1.3,52.5,0.09,23.14010515,30.9,Male,0
25.6,45,0.7,1.6,40.5,0.11,23.14010515,18.5,Male,0
20.9,55,0.68,1,84.3,0.09,19.93609059,18.5,Male,0
23.8,25,0.63,1.2,50.9,0.06,19.07696123,30.9,Female,0
24.8,45,1,1,71.2,0.03,17.5340969,18.5,Male,0
25,45,0.63,1.1,54.8,0.04,21.484375,18.5,Female,0
24.3,35,0.75,1.4,55.9,0.08,24.16456205,30.9,Male,-0.5
25.1,35,0.76,1.1,50.8,0.03,19.58008897,18.5,Male,0
25.2,55,0.62,1.3,50.8,0.14,20.22466716,18.5,Male,1
29.3,65,0.67,1.1,75.5,0.7,28.16401785,29.5,Male,0
22.3,55,0.63,1.6,48.2,0.11,28.99747446,18.5,Male,1
17.4,25,1.81,1.1,57.5,0.19,21.93748875,15.5,Female,-1
28.1,25,0.84,1.3,47.4,0.07,18.64123358,29.9,Female,0
23.9,25,0.57,1.3,52.5,0.11,22.265625,30.9,Female,0
19.2,55,1.39,1.1,54.3,0.06,27.192336,15.5,Female,-2
23.7,25,0.57,1.5,64.2,0.15,21.52782083,38.1,Female,0
36,55,0.74,1,45,0.85,27.23274465,29.5,Male,2
24.9,25,0.7,1.1,52.9,0.06,22.01187834,29.9,Male,0
29.1,45,0.63,1.1,58.9,0.53,27.23274465,30.8,Female,-1
27.2,45,0.72,1.3,70.9,0.49,26.5625,30.8,Female,-1
30.7,55,0.61,1.7,74.9,0.26,27.34375,29.5,Male,0.5
24.6,25,0.67,1.2,77.4,0.23,27.04164413,38.1,Male,0
35.4,45,0.63,1.3,46.9,0.58,16.76429634,38.1,Female,3
35,45,0.78,1.1,48.4,0.35,26.20307382,38.1,Female,3
22.2,35,0.58,1,78.5,0.11,20.91128443,18.5,Male,0
30.4,55,0.77,1.4,74.5,0.62,22.74560762,29.5,Male,-1
18,45,2.14,1,42.1,0.01,22.69395388,8.5,Male,0
19.1,25,1.3,1.1,51.1,0.02,24.5851167,15.5,Male,-1
25.9,35,0.69,1.1,47.7,0.35,31.14186851,29.9,Male,-1
27.6,25,0.88,1.1,45.8,0.16,26.15230229,29.9,Male,0
24.8,25,0.64,1.5,56.8,0.08,26.57148171,29.5,Male,-0.5
23.3,35,0.59,1.1,49,0.05,24.54171575,30.9,Female,0
25.2,35,0.79,1.3,67,0.63,24.20811,30.8,Male,0
25.6,45,0.63,1.4,52.1,0.01,24.5851167,18.5,Female,0
18.8,55,1.51,1.4,38.4,0.06,21.875,8.5,Male,1
25.3,35,0.64,1.1,42,0.39,19.921875,30.9,Female,-1
19.8,25,1.41,1.1,52.8,0.08,17.77693054,15.5,Female,-1
25.3,45,0.64,1.1,53.5,0.01,24.92011324,18.5,Male,0
