Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
34.8,35,Male,2,1,cooler,5,0.67,1.1,48,0.84,18.10544005,29.5
35.6,55,Male,0,1,no change,4,0.67,1.5,46.2,1.53,25.68052473,29.5
35.4,25,Male,2,0,no change,6,0.67,1.5,46.4,0.5,17.43486819,29.5
35.5,45,Male,1,0,no change,6,0.7,1,46.8,1.2,21.45829932,29.5
35.5,55,Male,2,0,no change,1,0.7,1,47,0.12,24.16456205,29.5
35.3,55,Male,2,0,cooler,2,0.67,1,48.4,0.9,26.41425401,29.5
35.1,25,Male,2,0,no change,2,0.7,1.1,48,1.24,20.96245906,29.5
35.6,25,Female,2,0,cooler,1,0.53,1.1,47.9,0.4,20.17755515,29.5
35.9,25,Male,0,1,no change,6,0.7,1,45.6,0.54,20.54441979,29.5
36,45,Female,3,0,no change,1,0.59,1.1,48.2,0.29,32.487747,29.5
35.7,25,Female,3,0,no change,3,0.57,1.1,47.3,0.5,20.96245906,29.5
35.7,55,Female,2,0,no change,6,0.57,1,46.7,0.94,27.23274465,29.5
35.3,45,Male,2,0,no change,4,0.7,1,47.5,0.53,23.84620154,29.5
34.8,55,Male,2,0,cooler,2,0.64,1,49.2,0.85,18.10774106,29.5
35.3,25,Female,3,0,no change,6,0.6,1.3,47,0.48,21.46225695,29.5
35.6,55,Male,2,0,no change,5,0.7,1,45.4,0.45,25.40923061,29.5
35.5,55,Female,1,0,no change,5,0.6,1,46.7,0.25,32.24993701,29.5
35.3,25,Female,2,0,no change,4,0.43,1.3,47.3,0.27,26.47627952,29.5
35.8,25,Female,0,1,no change,6,0.6,1.1,43.8,0.55,26.24564171,29.5
36,25,Male,0,1,no change,6,0.7,1.1,42.3,0.32,16.92152545,29.5
36.4,25,Female,3,0,no change,1,0.9,1.1,41.4,0.16,20.3125,29.5
36,25,Female,2,0,no change,6,0.78,1,43.5,1.05,24.43709679,29.5
35.8,25,Male,3,0,no change,2,0.61,1.4,44.3,1.15,27.34375,29.5
36.1,45,Male,3,0,cooler,6,0.55,1,38.9,0.19,17.80008088,29.5
36.8,45,Male,3,0,warmer,2,0.64,1.1,35,0.39,24.92011324,29.5
37.2,45,Female,3,0,no change,1,0.57,1,34.4,0.23,28.15578543,29.5
38.8,45,Male,3,0,no change,1,0.7,1.1,26.3,0.51,23.14010515,29.5
37.2,35,Female,3,0,no change,6,0.57,1.1,29.2,0.3,27.493446,29.5
37.9,45,Male,1,0,no change,6,0.7,1,26.8,0.33,23.72453724,29.5
38,35,Female,1,1,no change,5,0.57,1.1,26.3,0.59,24.92011324,29.5
37,55,Male,2,0,no change,6,0.64,1.1,30.3,0.51,28.16401785,29.5
37,35,Female,2,0,warmer,5,0.55,1.1,34.9,0.21,16.0200728,29.5
37,35,Male,2,0,no change,3,0.64,1.1,35.9,0.29,26.78111865,29.5
38.5,45,Male,2,0,no change,1,0.7,1,33.2,0.56,23.47001488,29.5
34.3,55,Male,1,0,cooler,6,0.79,1,51.2,0.45,18.64534404,29.5
34.5,25,Male,0,1,cooler,6,0.67,1.1,50.1,0.22,20.04632592,29.5
