dataset,method,rmse
1,knn,1.441671753
2,knn,1.466373093
3,knn,1.459444974
4,knn,1.423018388
5,knn,1.525697966
6,knn,1.387503711
7,knn,1.434383968
8,knn,1.469868564
9,knn,1.390027709
10,knn,1.486590189
1,lr,2.006765513
2,lr,2.009635667
3,lr,2.004186224
4,lr,2.021468969
5,lr,2.003753812
6,lr,1.999723416
7,lr,2.005442417
8,lr,1.99450782
9,lr,1.961122411
10,lr,2.038820679
1,svr,1.49741506
2,svr,1.48597274
3,svr,1.465452339
4,svr,1.469467297
5,svr,1.514725962
6,svr,1.431233635
7,svr,1.462997433
8,svr,1.457441797
9,svr,1.447877848
10,svr,1.508303553
1,rf,1.135335693
2,rf,1.116089506
3,rf,1.132432865
4,rf,1.110705471
5,rf,1.174402411
6,rf,1.102346636
7,rf,1.140980134
8,rf,1.11496399
9,rf,1.091302029
10,rf,1.118468731
1,xgb,1.088359567
2,xgb,1.081191066
3,xgb,1.097954829
4,xgb,1.136340017
5,xgb,1.140173951
6,xgb,1.07313667
7,xgb,1.135565637
8,xgb,1.106589992
9,xgb,1.088258517
10,xgb,1.09698789
1,mlp,1.251701634
2,mlp,1.369656079
3,mlp,1.325909102
4,mlp,1.278841752
5,mlp,1.402370228
6,mlp,1.285133951
7,mlp,1.319056196
8,mlp,1.309929037
9,mlp,1.298295917
10,mlp,1.327378933
1,nn,1.490385155
2,nn,1.428076582
3,nn,1.471481705
4,nn,1.529328834
5,nn,1.526097797
6,nn,1.515390122
7,nn,1.533427889
8,nn,1.478664537
9,nn,1.540407165
10,nn,1.563995561
